Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y,Open,High,Low,Close,Adj Close,Volume
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,3.390000104904175,3.4200000762939453,3.299999952316284,3.3499999046325684,3.3499999046325684,33645900.0,4.619999885559082,4.652500152587891,4.554999828338623,4.567500114440918,4.367773056030273,35097600.0
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,3.369999885559082,3.440000057220459,3.2799999713897705,3.390000104904175,3.390000104904175,27904500.0,4.559999942779541,4.582499980926514,4.442500114440918,4.547500133514404,4.348647594451904,28899600.0
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,3.430000066757202,3.4600000381469727,3.369999885559082,3.4000000953674316,3.4000000953674316,16797000.0,4.574999809265137,4.637499809265137,4.557499885559082,4.557499885559082,4.358209133148193,23914000.0
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,,,,,,,,,,,,
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,,,,,,,,,,,,
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,3.4200000762939453,3.440000057220459,3.299999952316284,3.359999895095825,3.359999895095825,17864800.0,4.574999809265137,4.612500190734863,4.5,4.53000020980835,4.331912040710449,19903200.0
2014-10-07,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,336.18701171875,49199900,3.3499999046325684,3.380000114440918,3.2799999713897705,3.2799999713897705,3.2799999713897705,17720600.0,4.510000228881836,4.554999828338623,4.477499961853027,4.482500076293945,4.286489486694336,30189600.0
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,3.299999952316284,3.309999942779541,3.180000066757202,3.2799999713897705,3.2799999713897705,28000000.0,4.477499961853027,4.587500095367432,4.442500114440918,4.565000057220459,4.365382671356201,26017200.0
2014-10-09,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,3.0299999713897705,3.200000047683716,2.940000057220459,2.950000047683716,2.950000047683716,69528900.0,4.545000076293945,4.550000190734863,4.440000057220459,4.477499961853027,4.281708240509033,30695600.0
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,2.950000047683716,2.950000047683716,2.7100000381469727,2.7200000286102295,2.7200000286102295,41062500.0,4.442500114440918,4.457499980926514,4.210000038146973,4.212500095367432,4.028295516967773,69137600.0
2014-10-11,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200,,,,,,,,,,,,
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800,,,,,,,,,,,,
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,2.7799999713897705,2.8499999046325684,2.7300000190734863,2.740000009536743,2.740000009536743,38269400.0,4.239999771118164,4.324999809265137,4.192500114440918,4.197500228881836,4.013952732086182,39762800.0
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,2.609999895095825,2.75,2.5999999046325684,2.619999885559082,2.619999885559082,39964200.0,4.255000114440918,4.412499904632568,4.230000019073486,4.295000076293945,4.1071882247924805,37662000.0
